sample_name	accession	food_group
wine	SRR3017093	wine
wine	SRR3017103	wine
wine	SRR3017094	wine
wine	SRR3017091	wine
wine	SRR3017095	wine
wine	SRR3017100	wine
wine	SRR3017097	wine
wine	SRR3017088	wine
wine	SRR3017096	wine
wine	SRR3017090	wine
wine palm	SRR27593192	wine
wine palm	SRR27593232	wine
wine palm	SRR27593151	wine
wine palm	SRR27593230	wine
wine palm	SRR27593227	wine
yogurt	SRR22851168	yogurt
yogurt	SRR22851167	yogurt
yogurt	SRR11605264	yogurt
yogurt	SRR11605266	yogurt
yogurt	SRR11605273	yogurt
yogurt	SRR11605259	yogurt
yogurt	SRR11605261	yogurt
yogurt	SRR11605274	yogurt
yogurt	SRR11605265	yogurt
yogurt	SRR11605267	yogurt
zonkom	SRR27593224	zonkom
zonkom	SRR27593221	zonkom
